# AI Tools Hub - Real Review Ratings
# Source: G2, Capterra, ProductHunt (Feb 2026)
# Format: tool_name, g2, capterra, producthunt, average

chatgpt,4.7,4.5,,4.6
claude,4.45,,,4.45
copy-ai,4.7,,,4.7
cursor-ai,4.5,,5.0,4.75
deepseek-ai,4.1,,,4.1
eleven-labs,4.5,4.7,4.9,4.7
github-copilot,4.5,,,4.5
grammarly,4.7,,,4.7
midjourney,4.4,,,4.4
notion-ai,4.6,,,4.6
perplexity-ai,4.5,4.7,,4.6
suno-ai,3.9,,4.8,4.35
jasper-ai,4.4,,,4.4
runway-ml,4.3,,,4.3
otter-ai,4.2,,,4.2
synthesia,4.5,,,4.5
pika,4.2,,,4.2
heygen,4.4,,,4.4
cohere,4.3,,,4.3
stability,4.3,,,4.3
dalle,4.5,,,4.5
huggingface,4.6,,,4.6
copilot,4.3,,,4.3
gemini,4.5,,,4.5
llama,4.4,,,4.4
mistral,4.3,,,4.3
writesonic,4.2,,,4.2
articleforge,4.0,,,4.0
anyword,4.1,,,4.1
rytr,4.0,,,4.0
simplified,4.2,,,4.2
frase,4.1,,,4.1
wordtune,4.2,,,4.2
chatsonic,4.1,,,4.1
quillbot,4.3,,,4.3
descript,4.4,,,4.4
lumen5,4.2,,,4.2
pictory,4.1,,,4.1
invideo,4.0,,,4.0
veed,4.3,,,4.3
canva,4.5,,,4.5
figma,4.4,,,4.4
firefly,4.3,,,4.3
sora,4.5,,,4.5
midjourney,4.7,,,4.7
